"PatternId_decimal",description,"killchain_stage",name,objective,scenario,scenarioFriendly,severity,"show_in_ui",tactic,technique
1,"Productivity app wrote an executable to the filesystem",Exploitation,SpearPhish1,"Gain Access","malicious_document","Malicious document",10,False,"Initial Access","Spearphishing Attachment"
3,"A productivity application launched in its own parent chain. Adversaries can use this to gain access to a system. Review the process tree.",Exploitation,SpearPhish3,"Gain Access","malicious_document","Malicious document",10,False,"Initial Access","Spearphishing Attachment"
5,"Command prompt in process subtree beneath a productivity application",Exploitation,SpearPhish5,"Follow Through","malicious_document","Malicious document",50,False,Execution,"Command-Line Interface"
4,"Productivity app or one of its children wrote a registry key used for persistence",Exploitation,SpearPhish4,"Keep Access","malicious_document","Malicious document",30,False,Persistence,"Registry Run Keys / Start Folder"
6,"Browser renderer process wrote an executable to the filesystem",Exploitation,DriveBy6,"Gain Access","drive_by_download","Web exploit",50,False,"Initial Access","Drive-by Compromise"
2,"Productivity app launched an executable",Exploitation,SpearPhish2,"Gain Access","malicious_document","Malicious document",10,False,"Initial Access","Spearphishing Attachment"
7,"Remote thread injection from Chrome renderer process",Exploitation,DriveBy7,"Keep Access","drive_by_download","Web exploit",50,False,"Defense Evasion","Process Injection"
9,"A web browser opened a command line interface. Adversaries often use this to execute malicious code. Review the process tree.",Exploitation,DriveBy9,"Follow Through","drive_by_download","Web exploit",50,False,Execution,"Exploitation for Client Execution"
8,"Browser renderer wrote a registry key used for persistence",Exploitation,DriveBy8,"Keep Access","drive_by_download","Web exploit",50,False,Persistence,"Registry Run Keys / Start Folder"
10,"Known malware was executed.",Unknown,CloudDetect,,"known_malware","Known malware",50,True,,
13,"A productivity application wrote and ran an executable.",Exploitation,ProdAppWritesAndExecutesModule,"Follow Through","malicious_document","Malicious document",50,True,Execution,"Exploitation for Client Execution"
11,"Remote thread injection from IE renderer process",Exploitation,DriveBy11,"Keep Access","drive_by_download","Web exploit",50,False,"Defense Evasion","Process Injection"
17,"Command prompt in subtree beneath a browser process",Exploitation,DriveBy17,"Follow Through","drive_by_download","Web exploit",10,False,Execution,"Command-Line Interface"
16,"The security for credential registry keys was modified.","Lateral motion",PWDump4,"Gain Access","credential_theft","Credential theft",70,True,"Credential Access","Credentials in Registry"
15,"An unsigned process obtained a handle to lsass. Adversaries often use this to steal credentials. If credentials were dumped, change your passwords and review the process tree.","Lateral motion",RemoteOpenLsassUnsigned,"Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
12,"A remote thread in LSASS accessed credential registry keys.","Lateral motion",PWDump1,"Gain Access","credential_theft","Credential theft",70,True,"Credential Access","Credential Dumping"
14,"Lsass loaded an unsigned DLL. Adversaries often use this to steal credentials. If credentials were dumped, change your passwords and review the process tree.","Lateral motion",PWDump2,"Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
18,DEPRECATED,Unknown,"DEPRECATED--NetworkListeningCmdPrompt",,"suspicious_activity","Suspicious activity",1,False,,
20,"A process wrote an executable file and created or modified a service",Unknown,WritesExeAndGeneratesServiceEvent,"Keep Access","suspicious_activity","Suspicious activity",10,False,Persistence,"New Service"
19,"A registry key used for persistence was written from a network-capable process",Unknown,NetworkCapableAsepWrite,"Keep Access","suspicious_activity","Suspicious activity",10,False,Persistence,"Registry Run Keys / Start Folder"
22,DEPRECATED,Exploitation,"DEPRECATED--IE0DayHXDS",,"drive_by_download","Web exploit",1,False,,
23,"An executable had a suspicious or misleading filename",Exploitation,"CloudDetect-Filename",,"social_engineering","Social engineering",50,False,,
27,"A browser created a process via shellcode.",Exploitation,DriveByCreateProcessFollowsCreateThread,"Follow Through","drive_by_download","Web exploit",50,True,Execution,"Exploitation for Client Execution"
26,"Falcon Overwatch has identified malicious activity carried out by a suspected or known nation-state adversary. This has been raised for immediate action and should be investigated immediately.",Unknown,CloudDetectCSOC,"Falcon Detection Method","overwatch_detection","Falcon Overwatch detection",90,True,"Falcon Overwatch","Malicious Activity"
21,DEPRECATED,"Lateral motion","DEPRECATED--SmartHashdump",,"credential_theft","Credential theft",1,False,,
24,"Falcon Overwatch has identified suspicious activity. This has been raised for your awareness and should be investigated as normal.",Unknown,SuspiciousActivityDetectedByCSOC,"Falcon Detection Method","overwatch_detection","Falcon Overwatch detection",50,True,"Falcon Overwatch","Suspicious Activity"
25,"Falcon Overwatch has identified malicious activity. This has been raised for immediate action and should be investigated urgently.",Unknown,MaliciousActivityDetectedByCSOC,"Falcon Detection Method","overwatch_detection","Falcon Overwatch detection",70,True,"Falcon Overwatch","Malicious Activity"
28,"A browser created a process via shellcode.",Exploitation,DriveByCreateProcessPivotedStack,"Follow Through","drive_by_download","Web exploit",50,True,Execution,"Exploitation for Client Execution"
30,"A process loaded a restricted credential module.","Lateral motion",SuspiciousCredentialModuleLoad,"Gain Access","credential_theft","Credential theft",70,True,"Credential Access","Credential Dumping"
29,"A browser created a process via shellcode.",Exploitation,DriveByCreateProcessPivotedExecutableStack,"Follow Through","drive_by_download","Web exploit",50,True,Execution,"Exploitation for Client Execution"
31,"User hashes from SAM hive accessed","Lateral motion",SAMHashDump,"Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
33,"Productivity app injected a thread into another process",Unknown,ProductivityAppInjectedThread,,"suspicious_activity","Suspicious activity",50,False,,
37,"An IIS worker process spawned a command prompt. This is anomalous behavior and often indicative of an exploit or webshell.",Unknown,IISCmdPrompt,"Gain Access","suspicious_activity","Suspicious activity",70,False,"Initial Access","Exploit Public-Facing Application"
32,"A productivity app launched a process from an executable stack.",Exploitation,SpearPhishExecutableStack,"Follow Through","malicious_document","Malicious document",50,True,Execution,"Exploitation for Client Execution"
34,"Java injected a thread into another process",Unknown,JavaInjectedThread,,"suspicious_activity","Suspicious activity",50,False,,
39,"The security registry hive was read using raw disk access.","Lateral motion",RawReadOnSecurityHive,"Gain Access","credential_theft","Credential theft",70,True,"Credential Access","Credentials in Registry"
35,"A thread was injected into LSASS.","Lateral motion",LsassInjectedThread,"Gain Access","credential_theft","Credential theft",70,True,"Credential Access","Credential Dumping"
40,"The Windows Security Account Manager (SAM) registry hive was read using raw disk access.","Lateral motion",RawReadOnSAMHive,"Gain Access","credential_theft","Credential theft",70,True,"Credential Access","Credentials in Registry"
36,"A DLL was injected into LSASS.","Lateral motion",LsassDllInjection,"Gain Access","credential_theft","Credential theft",50,True,"Credential Access","Credential Dumping"
38,"A process indirectly stole a privileged security token via DLL injection.",Installation,"DEPRECATED--ActiveIndirectPrivilegeEscalation","Gain Access","privilege_escalation","Privilege escalation",70,False,"Privilege Escalation","Process Injection"
41,"Firefox wrote a new add-on installer with suspicious characteristics to the file system",Exploitation,DriveByInstallManifest,"Follow Through","drive_by_download","Web exploit",10,False,Execution,"Third-party Software"
42,"A Firefox browser opened a command line interface. Adversaries often use this to execute malicious code. Review the process tree.",Exploitation,DriveByCLIUnderFirefox,"Falcon Detection Method","drive_by_download","Web exploit",30,False,"Post-Exploit","Command-Line Interface"
45,"An image was loaded by a browser from an unusual location",Exploitation,DriveByAnomalousImageLoad,,"drive_by_download","Web exploit",50,False,,
44,"System call made by a browser via shellcode or ROP",Exploitation,DriveBySuspiciousSyscall,,"drive_by_download","Web exploit",50,False,,
46,"A process chain bypassed Windows logon security.",Installation,WindowsLogonBypass,"Keep Access","privilege_escalation","Privilege escalation",80,True,Persistence,"Accessibility Features"
43,"Metasploit's meterpreter server may have been loaded into a process.",Unknown,MeterpreterLoaded,"Keep Access","known_malware","Known malware",50,True,"Defense Evasion","Process Injection"
50,DEPRECATED,Unknown,"DEPRECATED--MeterpreterLoadedPreReg",,"known_malware","Known malware",1,False,,
49,"An ASLR bypass attempt was blocked.",Exploitation,ASLRBypassAttemptBlocked,"Falcon Detection Method","blocked_exploit","Blocked Exploit",70,True,Exploit,"Exploit Mitigation"
48,"An IIS worker process opened an administrative/reconnaissance tool. Adversaries sometimes use this to gain access to a system. Review the process tree.",Unknown,IISAdminReconTool,"Gain Access","suspicious_activity","Suspicious activity",30,False,"Initial Access","Exploit Public-Facing Application"
47,"A process has created a memory dump of LSASS","Lateral motion",LsassProcdump,"Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
51,"LSASS process accessed from a signed executable with untrusted root authority","Lateral motion",RemoteOpenLsassUntrusted,"Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
53,"Indicates a thread was injected into LSASS from signed executable with untrusted root authority","Lateral motion","LsassInjectedThread.Untrusted","Gain Access","credential_theft","Credential theft",50,False,"Credential Access","Credential Dumping"
52,"The LSASS process was accessed from the mimikatz hack tool.","Lateral motion","PWDump3.Mimikatz","Gain Access","credential_theft","Credential theft",70,True,"Credential Access","Credential Dumping"
55,"Security for credential registry keys tampered with from signed executable with untrusted root authority","Lateral motion","PWDump4.Untrusted","Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
54,"Signed DLL with untrusted root authority loaded by LSASS process","Lateral motion","PWDump2.Untrusted","Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
56,"User hashes from SAM hive accessed from signed executable with untrusted root authority","Lateral motion","SAMHashDump.Untrusted","Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
57,"The SECURITY registry hive was read using raw disk access from a signed executable with untrusted root authority.","Lateral motion","RawReadOnSecurityHive.Untrusted","Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
59,"A process loaded a restricted credential module from a signed executable with untrusted root authority","Lateral motion","SuspiciousCredentialModuleLoad.Untrusted","Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
60,"JavaScript was executed from the command line via rundll32.exe (rundll32.exe was launched from the command line and included the ""javascript:"" argument).",Unknown,JavaScriptExecutedViaRundll32,"Keep Access","suspicious_activity","Suspicious activity",50,True,"Defense Evasion",Rundll32
58,"The SAM registry hive was read using raw disk access from a signed executable with untrusted root authority.","Lateral motion","RawReadOnSAMHive.Untrusted","Gain Access","credential_theft","Credential theft",70,False,"Credential Access","Credential Dumping"
61,"Admin/recon tool in subtree beneath a browser process",Exploitation,DriveByAdminReconToolUnderBrowser,Explore,"drive_by_download","Web exploit",50,False,Discovery,"System Information Discovery"
62,"Detected file access and deletion activity that is consistent with known wipers such as Wipall.",ActionsOnObjectives,"DEPRECATED--WipallWiper","Follow Through","data_deletion","Deletion of data",60,False,Impact,"Data Destruction"
67,"Process accessed credential-containing NTDS.dit in a Volume Shadow Snapshot","Lateral motion",NtdsFileAccessedViaVss,"Gain Access","credential_theft","Credential theft",100,True,"Credential Access","Credential Dumping"
63,DEPRECATED,ResponseActions,"DEPRECATED--DataDeletionProcessTerminated",,"process_terminated","A process was terminated in response to malicious behavior",80,False,,
